drone_x,drone_y,drone_z,payload_x,payload_y,payload_z,sim_payload_x,sim_payload_y,sim_payload_z
-0.3795416259765625,-0.11192684173583985,2.28777490234375,-0.26100048828125,-0.10875059509277343,1.2914307861328125,-0.37954163551330566,-0.1119268387556076,1.3376046866170235
-0.3795416259765625,-0.11192684173583985,2.28777490234375,-0.2620316925048828,-0.10825800704956057,1.29154150390625,-0.37954163551330566,-0.1119268387556076,1.337329336745915
-0.3810334411621094,-0.1119887939453125,2.287737939453125,-0.2630628967285156,-0.10776541900634766,1.2916522216796875,-0.37954163551330583,-0.11192683875560762,1.3370036426852854
-0.38252525634765616,-0.11205074615478516,2.2877009765625,-0.2630628967285156,-0.10776541900634766,1.2916522216796875,-0.3795416355133042,-0.11192683875560708,1.3366654155695867
-0.3840170715332032,-0.1121126983642578,2.287664013671875,-0.2630628967285156,-0.10776541900634766,1.2916522216796875,-0.3795416355133053,-0.11192683875561243,1.3363402892350469
-0.38550888671875,-0.11217465057373048,2.28762705078125,-0.26453441365559893,-0.10721950785319012,1.2918450927734375,-0.3795416355133549,-0.11192683875558508,1.3360457539784236
-0.38700070190429686,-0.11223660278320312,2.287590087890625,-0.2660059305826823,-0.10667359670003256,1.2920379638671875,-0.3795416355132198,-0.11192683875568556,1.3357911665206552
-0.38700070190429686,-0.11223660278320312,2.287590087890625,-0.2674774475097656,-0.106127685546875,1.2922308349609375,-0.37954163551222475,-0.11192683875546076,1.3355848032272046
-0.38700070190429686,-0.11223660278320312,2.287590087890625,-0.2674774475097656,-0.106127685546875,1.2922308349609375,-0.37954163551796527,-0.11192683875545584,1.3354246859294028
-0.38700070190429686,-0.11223660278320312,2.287590087890625,-0.2674774475097656,-0.106127685546875,1.2922308349609375,-0.37954163551386993,-0.11192683875664543,1.335306626864589
-0.3895181783040365,-0.11226229604085286,2.2875966796875,-0.2674774475097656,-0.106127685546875,1.2922308349609375,-0.3795416354869813,-0.11192683875597247,1.3352253578943947
-0.39203565470377605,-0.11228798929850259,2.287603271484375,-0.26900982666015627,-0.10556603749593098,1.2923861897786457,-0.3795416355109646,-0.1119268387515443,1.3351773998691499
-0.39455313110351564,-0.11231368255615234,2.28760986328125,-0.2705422058105469,-0.10500438944498698,1.2925415445963542,-0.3795416356392039,-0.11192683875106268,1.3351615078353534
-0.39455313110351564,-0.11231368255615234,2.28760986328125,-0.2720745849609375,-0.10444274139404296,1.2926968994140624,-0.3795416355125465,-0.11192683876880227,1.3351709609371167
-0.39455313110351564,-0.11231368255615234,2.28760986328125,-0.2720745849609375,-0.10444274139404296,1.2926968994140624,-0.3795416352026656,-0.11192683877956051,1.3351970491867704
-0.39455313110351564,-0.11231368255615234,2.28760986328125,-0.2720745849609375,-0.10444274139404296,1.2926968994140624,-0.3795416352500283,-0.11192683874748646,1.3352331564530744
-0.3970466613769531,-0.11235013071695964,2.287676106770833,-0.2720745849609375,-0.10444274139404296,1.2926968994140624,-0.3795416359572665,-0.11192683869066515,1.3352800224531596
-0.3995401916503906,-0.11238657887776692,2.2877423502604164,-0.27367055257161454,-0.10394675954182943,1.29280517578125,-0.37954163672516783,-0.11192683866789425,1.335342780154432
-0.40203372192382814,-0.11242302703857422,2.28780859375,-0.2752665201822917,-0.10345077768961587,1.2929134521484376,-0.379541636280056,-0.1119268387496729,1.3354238925139736
-0.40203372192382814,-0.11242302703857422,2.28780859375,-0.27686248779296874,-0.10295479583740234,1.293021728515625,-0.379541632468103,-0.11192683908462894,1.3355146062816652
-0.40203372192382814,-0.11242302703857422,2.28780859375,-0.27686248779296874,-0.10295479583740234,1.293021728515625,-0.3795416285694145,-0.11192683955139006,1.3356045179215814
-0.40203372192382814,-0.11242302703857422,2.28780859375,-0.27686248779296874,-0.10295479583740234,1.293021728515625,-0.3795416338688027,-0.1119268388681459,1.3356882928356555
-0.4045468444824219,-0.1124838587443034,2.2877281087239583,-0.27686248779296874,-0.10295479583740234,1.293021728515625,-0.3795416531166101,-0.11192683570760371,1.335763933474857
-0.4070599670410156,-0.11254469045003256,2.2876476236979166,-0.27852978515625,-0.10244278971354169,1.2930245361328125,-0.37954166113464904,-0.1119268353759108,1.3358275679720535
-0.40957308959960936,-0.11260552215576172,2.287567138671875,-0.28019708251953124,-0.10193078358968098,1.29302734375,-0.37954163274674035,-0.11192684275406949,1.3358819491279896
-0.40957308959960936,-0.11260552215576172,2.287567138671875,-0.2818643798828125,-0.10141877746582033,1.2930301513671876,-0.3795415644017495,-0.11192685211324842,1.3359286418945133
-0.40957308959960936,-0.11260552215576172,2.287567138671875,-0.2818643798828125,-0.10141877746582033,1.2930301513671876,-0.3795415725884548,-0.11192684509517611,1.335968199598858
-0.40957308959960936,-0.11260552215576172,2.287567138671875,-0.2818643798828125,-0.10141877746582033,1.2930301513671876,-0.37954173445158546,-0.11192680284945336,1.3360013192174403
-0.4121158345540365,-0.11272808329264324,2.2876422526041664,-0.2818643798828125,-0.10141877746582033,1.2930301513671876,-0.37954152267926256,-0.11192691089084614,1.3360382933852153
-0.41465857950846363,-0.11285064442952472,2.2877173665364583,-0.28347801717122395,-0.10096288808186848,1.2930961100260414,-0.37954109149901183,-0.11192706731721981,1.33608758742781
-0.4172013244628906,-0.11297320556640623,2.28779248046875,-0.2850916544596354,-0.10050699869791668,1.2931620686848957,-0.3795404602736366,-0.11192724204684883,1.3361552211659653
-0.4172013244628906,-0.11297320556640623,2.28779248046875,-0.2867052917480469,-0.10005110931396484,1.29322802734375,-0.37954052266934724,-0.1119274246158947,1.3362330843444252
