timestep,x,y,z,roll,pitch,yaw,phase
0.0,2.0,0.0,3.0,0.0,-0.0,0.0,0.0
0.0,1.9910926148724617,0.0,3.0052029017514785,-0.0,-0.0019219698188237492,0.0,0.0
1.0,1.9821037519003324,-3.3020434290472253e-09,3.01065270061364,-9.287185983438513e-08,-0.0043278294884374555,-8.989363562629322e-09,0.0
2.0,1.973112394248703,1.2448152549985979e-08,3.0161783041651296,2.698170507766887e-07,-0.007123352555863073,-3.658499811944957e-09,0.0
3.0,1.9641276201815974,-4.736367819127051e-09,3.0217576442086598,3.000477171228362e-07,-0.010460097348687742,1.2627534198733315e-08,0.0
4.0,1.955143154677249,5.1642010144519425e-09,3.0273545804984487,5.630494380678323e-07,-0.014287571654364596,2.704901341276552e-08,0.0
5.0,1.946153186688311,9.583477617923999e-09,3.0329634697021617,8.85627295795051e-07,-0.018433762643313718,3.7430596221056246e-08,0.0
6.0,1.9371555809609475,3.5872414790505026e-09,3.0385809056054347,1.0192849797930189e-06,-0.022689058307926186,4.313783733085179e-08,0.0
7.0,1.9281582261201335,8.778801626387023e-10,3.044210059137937,1.076570718713272e-06,-0.027062230417538094,4.6050707543582443e-08,0.0
8.0,1.9191567600165516,-3.315654622784695e-09,3.0498533770134735,1.0129049448625877e-06,-0.03144254489408721,4.6625527319651654e-08,0.0
9.0,1.9101539685201239,-1.9731806843769465e-09,3.055502739086963,9.842963280608266e-07,-0.03580415495150709,4.6516125176893244e-08,0.0
10.0,1.9011503714433733,-4.213342850835162e-09,3.0611712312979558,8.846851130984377e-07,-0.040145868326910736,4.521523506198976e-08,0.0
11.0,1.8921411661057637,-9.189367150581209e-10,3.0668448293367594,8.732008154963397e-07,-0.04433135895270997,4.42039812932588e-08,0.0
12.0,1.8831351204013211,-4.782505325903894e-09,3.0725370203238396,7.478688004030014e-07,-0.04848810144107836,4.204944556207293e-08,0.0
13.0,1.8741212556409461,3.845941260623993e-09,3.0782285040089636,8.559089822211752e-07,-0.05240618275828504,4.1396340827387684e-08,0.0
14.0,1.8651149646410412,-9.09199412990582e-09,3.0839300453169245,6.01772318286149e-07,-0.05632979086822374,3.7879848720982014e-08,0.0
15.0,1.8560977718230247,-2.479723076870424e-09,3.089632196879911,5.615933040189962e-07,-0.05996046234472884,3.705885340423933e-08,0.0
16.0,1.8470818258985893,6.436246200069913e-09,3.0953460356305627,7.216984892555325e-07,-0.06339762331662224,3.6683550033580854e-08,0.0
17.0,1.8380674273628064,4.956569293736678e-09,3.101066866825569,8.236832305762639e-07,-0.06669153435986477,3.497857429613519e-08,0.0
18.0,1.8290482911557178,7.768182557332822e-09,3.1067842855735295,1.0017975257333362e-06,-0.06972284043811507,3.3307182428665554e-08,0.0
19.0,1.8200324111253336,6.3215842858920965e-09,3.1125058451698138,1.1303543536470996e-06,-0.07260720037691452,3.065920977103633e-08,0.0
20.0,1.8110174524087357,-1.6762915285814374e-09,3.1182253363631602,1.0587445220465682e-06,-0.07535941235064687,2.7003151808551415e-08,0.0
21.0,1.80199776646576,-4.722502032622613e-09,3.1239416170005034,9.298783495233954e-07,-0.0778617280886202,2.3945839402356366e-08,0.0
22.0,1.7929780889661064,-5.7954648367853453e-11,3.129661621570555,9.267583974444156e-07,-0.08014251489062385,2.2017920407351746e-08,0.0
23.0,1.7839618149641991,4.096132732768215e-09,3.1353810041673777,1.019351184102659e-06,-0.08229143333042706,2.0386353694150447e-08,0.0
24.0,1.77494541033381,1.3081274642714107e-09,3.1410963332006143,1.033539645489638e-06,-0.08429411712520324,1.83046367515162e-08,0.0
25.0,1.7661191711396573,-5.666888333061474e-09,3.146006965375131,8.792109944114589e-07,-0.08597011909000798,1.610992306122551e-08,0.0
26.0,1.7572969394344873,-9.85950862624821e-09,3.1508950569580456,6.345854634902681e-07,-0.08737964138230335,1.4376568932549762e-08,0.0
27.0,1.7484782183256105,-8.244132880382722e-09,3.1557740772728593,4.400398337562385e-07,-0.08859214812475404,1.3416004461660728e-08,0.0
28.0,1.7396622969521023,-2.9083929312522077e-09,3.1606442963298154,3.7827334753098296e-07,-0.08965629144395298,1.3103548250168087e-08,0.0
29.0,1.7308475908375967,2.6167140076875984e-09,3.165508345234361,4.473197623407066e-07,-0.09058739581902768,1.3102454042552435e-08,0.0
30.0,1.7220336193711216,6.0646759982242245e-09,3.170366806065177,5.944703002898701e-07,-0.09139188183289894,1.3115606144949335e-08,0.0
31.0,1.713220730799803,7.082479262440405e-09,3.175219643902917,7.619215623152589e-07,-0.09208460408787325,1.29965073153025e-08,0.0
32.0,1.704409066194045,6.391930856522731e-09,3.180067903356201,9.104579586334023e-07,-0.09268531942407711,1.2721459156841269e-08,0.0
33.0,1.695598525770077,4.904168213875228e-09,3.184912585454999,1.0226300826206342e-06,-0.09321320596348938,1.2327254922684507e-08,0.0
34.0,1.6867893811033803,6.6357351284913145e-09,3.189759259138899,1.2086983312016004e-06,-0.09371183209213041,1.8401120594449488e-08,0.0
35.0,1.677981065506471,4.671916218798692e-09,3.1946017226819805,1.3651005017643116e-06,-0.09423396336715753,2.597603179213889e-08,0.0
36.0,1.6691756395531585,3.5176658141386465e-10,3.1994304081115392,1.3415819467936304e-06,-0.09476197056397712,2.0508278459689992e-08,0.0
37.0,1.6603696688945127,-1.7654475054199818e-08,3.204259683539029,5.927392550244089e-07,-0.09529063471698208,-2.5215481894796472e-08,0.0
38.0,1.6515642144938545,-9.703696704966419e-09,3.20908520214133,7.108364275302139e-07,-0.09582350276051119,3.200298459584182e-08,0.0
39.0,1.6427592275415743,3.7821259532353846e-08,3.2139096155508575,2.0684600163087587e-06,-0.09636206772442484,1.1782202420743932e-07,0.0
40.0,1.6339544381450528,3.451088692393555e-08,3.218732596376097,2.8739563543573444e-06,-0.09690584753690372,1.1913908377018439e-07,0.0
41.0,1.6251500882660512,-3.7220383786287934e-09,3.223554540115657,2.5556157695957954e-06,-0.09746889805510923,9.137324748621805e-08,0.0
42.0,1.6163465802471397,-3.2821209949186666e-08,3.2283754730362655,1.409627363024143e-06,-0.09807019468236855,4.309617118958938e-08,0.0
43.0,1.6075438776339979,-3.103473211216629e-08,3.233196120044395,6.820057091454636e-07,-0.09873021067471166,3.227730753975641e-08,0.0
44.0,1.5987418293529518,-3.6113415776656716e-08,3.238015814495275,-8.446524669369652e-07,-0.09945614379314113,-4.9445232597111116e-08,0.0
45.0,1.5899400543322453,-5.55587209459731e-08,3.242835782581635,-2.7166321685363385e-06,-0.10025505533096593,-1.3365753006699994e-07,0.0
46.0,1.5811385426446438,-5.763412086048318e-08,3.2476559350693135,-5.251488624269632e-06,-0.10113225040958362,-2.8309082209628233e-07,0.0
47.0,1.5723369400514233,-3.546459285436338e-08,3.2524762377863974,-6.63367163087159e-06,-0.10208174128078883,-3.232963465173159e-07,0.0
48.0,1.5635350251793694,6.93329500890802e-08,3.257297476347747,-4.1246118777523e-06,-0.10309986361241238,-1.5734105799501694e-07,0.0
49.0,1.5547327451121669,1.582739842575445e-07,3.2621200603364318,7.845693589051995e-07,-0.10418016813653475,-3.8544306961088035e-09,0.0
50.0,1.545598538479687,5.231007954790698e-09,3.2650848148729303,-1.4256851614738711e-06,-0.1052505563718817,-3.8199021408930377e-07,0.0
51.0,1.5364671391072473,-2.3312685133645473e-07,3.2679965174588324,-9.525154022557049e-06,-0.10627518558864373,-7.297813229654308e-07,0.0
52.0,1.5273391912508774,-2.5942793196855803e-07,3.2708918832238694,-1.8365078248406528e-05,-0.10727853885299357,-1.1521129299152453e-06,0.0
53.0,1.5182128356414861,-2.3459634668816387e-07,3.2737813148820045,-2.6693166470301902e-05,-0.10827378656170741,-1.6481306992989254e-06,0.0
54.0,1.5090873000225624,-1.7518358625731812e-07,3.2766687231593354,-3.342490353226036e-05,-0.10927180853527345,-2.155057598513061e-06,0.0
55.0,1.4999622551709104,-9.285854100280672e-08,3.2795548718578185,-3.806709080491461e-05,-0.11027898787658372,-2.670405966498577e-06,0.0
56.0,1.4908374442268841,-2.0868212076375187e-08,3.2824410115507194,-4.093472524019132e-05,-0.11130054340582518,-3.1944149194654606e-06,0.0
57.0,1.4817128356774643,2.398039687279169e-08,3.285327483886251,-4.27242618978354e-05,-0.1123424437573005,-3.7309248068072556e-06,0.0
58.0,1.4725886135009465,4.083263926172594e-08,3.2882138197126998,-4.410140034298024e-05,-0.11341314822025925,-4.278634240484036e-06,0.0
59.0,1.4634649474875272,3.99414590086397e-08,3.291099500226904,-4.54476885253861e-05,-0.11452276259873435,-4.829526642210994e-06,0.0
60.0,1.4543417831103886,3.487235598986818e-08,3.2939845568829096,-4.681189162798085e-05,-0.11567942209328862,-5.368666011497116e-06,0.0
61.0,1.4452188207935366,3.388027215890159e-08,3.296869565798109,-4.805997434684925e-05,-0.11688583971205817,-5.884801061999257e-06,0.0
62.0,1.436095671906869,3.8647602574071453e-08,3.299755223243524,-4.904311781401272e-05,-0.11813808190040569,-6.374003428811991e-06,0.0
63.0,1.4269722372928635,4.6525207231704425e-08,3.302641434238516,-4.971944361433779e-05,-0.11943084608888226,-6.840294793622523e-06,0.0
64.0,1.4178486853897054,5.1408254828922305e-08,3.3055277966539744,-5.0201110543020175e-05,-0.12076212925980642,-7.290710551088054e-06,0.0
65.0,1.4087251674322094,4.611114689046631e-08,3.3084143566954314,-5.078738095184254e-05,-0.12213414944670084,-7.736050998724116e-06,0.0
66.0,1.399601835198215,2.8458745242166238e-08,3.3113012063723346,-5.180803556773261e-05,-0.12355299650666741,-8.18822670088165e-06,0.0
67.0,1.3904789966138482,8.109854731561653e-09,3.314187773022477,-5.3297713974503524e-05,-0.12502919526843873,-8.649572213924648e-06,0.0
