timestep,x,y,z,roll,pitch,yaw,phase
0.0,-1.4142135381698608,0.0,4.41421365737915,0.0,-0.0,0.0,0.0
0.0,-1.4044183580545653,-1.2526325593021e-21,4.405265396636833,-1.514686211318987e-20,0.0021141167296885267,-1.6011123261468908e-23,0.0
1.0,-1.3945144266960727,-1.0804183730271289e-07,4.39614560347392,-1.0112854717518865e-06,0.00461203041388737,-5.351228673845085e-07,0.0
2.0,-1.3845811867859181,-1.2091335885516737e-06,4.386851224862485,-5.7693595851643496e-05,0.006750629322463077,8.126062811051506e-07,0.0
3.0,-1.3746278069131443,-1.0814380130027724e-07,4.377370405839021,-3.842649856393039e-05,0.008054225972972623,-2.1519807369410104e-07,0.0
4.0,-1.3646997178999238,9.809426083609205e-07,4.367706074610071,-2.8681428114209074e-05,0.009047600222931933,-1.991328717454816e-06,0.0
5.0,-1.354802960856624,1.9287842573913902e-06,4.357908733330159,7.527843318586804e-06,0.010127627542262221,2.8925040866451003e-06,0.0
6.0,-1.3449479531331567,6.883431571301781e-09,4.3482071222322105,-5.366793307891194e-06,0.012305304314169131,1.773540397548566e-05,0.0
7.0,-1.3350919004035307,-6.4963383704771294e-06,4.338661966249181,-0.00017693427436829982,0.015548056287194325,3.442146893180374e-05,0.0
8.0,-1.325210298174278,-9.479941438879353e-06,4.329207139720251,-0.00040590475514879734,0.01927628682552819,4.9640068129024204e-05,0.0
9.0,-1.3153109804191119,-6.644762996795715e-06,4.319780157732722,-0.0005466324825820833,0.023105304341153446,5.582945597376306e-05,0.0
10.0,-1.3054039304948852,-1.2708310334646069e-06,4.310370130989176,-0.000559364151498537,0.026826378994331095,6.11061706792916e-05,0.0
11.0,-1.2954985856387655,4.024797541669515e-06,4.300956512294784,-0.00043700220352763266,0.03053139137680783,6.23426715774212e-05,0.0
12.0,-1.2855942994288454,1.0691678728461436e-05,4.2915390753465905,-0.0001504059584111756,0.03423370771182993,6.465507122099665e-05,0.0
13.0,-1.2756818163286505,1.052118667157367e-05,4.282120446294013,0.00011212534883308717,0.03769989107009918,6.83151024873994e-05,0.0
14.0,-1.265769209709484,7.730850797011576e-06,4.2727003578452525,0.0003079056982773023,0.04097519374181739,7.24531841974856e-05,0.0
15.0,-1.255866972614448,3.544305341254157e-06,4.263272285994863,0.0003920286161369969,0.04428598736659526,7.772629814331035e-05,0.0
16.0,-1.245962892590611,-2.9202334487615714e-06,4.253846977525348,0.0003119916557264892,0.04757963274106036,8.456837108134749e-05,0.0
17.0,-1.236049730312699,-1.1197365966698399e-05,4.244425730869744,2.884476898026594e-05,0.05065195087338012,9.154731435405029e-05,0.0
18.0,-1.226147419454128,-1.0530197110531452e-05,4.2350028685595476,-0.0002225263892100219,0.05379552291912122,9.505826574060275e-05,0.0
19.0,-1.216253611166979,-7.903171691397184e-06,4.225573674850698,-0.0004109894495199818,0.0571624241404343,9.651531525665523e-05,0.0
20.0,-1.2063602678905943,-4.481055840226548e-06,4.216143696347694,-0.000511855311365223,0.060753322349614364,9.561959147192738e-05,0.0
21.0,-1.1964624228627867,1.0546062859131542e-07,4.206715334629424,-0.0005023319546689592,0.06445233587880336,9.592252111849933e-05,0.0
22.0,-1.186560364866436,4.34427115646757e-06,4.197285525188635,-0.0003880683719670566,0.06815912190818427,9.53362944224403e-05,0.0
23.0,-1.1766559854317398,7.021079417506615e-06,4.187854638694179,-0.00021220942929508018,0.07181619284532577,9.47332080729301e-05,0.0
24.0,-1.1667483712452984,6.3812118828857946e-06,4.178428400957593,-5.9299521384218435e-05,0.07537686516195401,9.564081132639754e-05,0.0
25.0,-1.1568900106132043,3.956060829756494e-06,4.16969526700969,3.408487208664158e-05,0.07882145469984922,9.776492001309714e-05,0.0
26.0,-1.1470331632360669,2.2786758739036142e-06,4.160969766327021,9.067053077059733e-05,0.08220729041100211,9.862300352503753e-05,0.0
27.0,-1.1371860888738208,1.8487883328439375e-06,4.152235706278142,0.00013579983811228506,0.08573621092584728,9.945276247411635e-05,0.0
28.0,-1.1273406239342407,1.4472646735824886e-06,4.143503073590931,0.00017011502185883867,0.08942576560086546,0.0001004693877267085,0.0
29.0,-1.1174852172455287,1.4864303733630038e-08,4.134780944121169,0.0001677017365337954,0.09306387410530736,0.00010193290931040676,0.0
30.0,-1.1076306678161167,-2.3833828185034345e-06,4.12605085803259,0.00010641075839299018,0.09666555407234098,0.00010381181892652058,0.0
31.0,-1.097780067581885,-4.42867465999609e-06,4.1173194577266266,-2.1519019704353942e-06,0.10032152967692244,0.00010560096344250334,0.0
32.0,-1.0879220220381007,-3.817323366562839e-06,4.1086051915487705,-9.068634636961277e-05,0.1039135228864729,0.00010637237980780474,0.0
33.0,-1.0780674091850568,-6.821085385796536e-07,4.099883733700627,-9.968544010198423e-05,0.10750302627445486,0.00010569239849140421,0.0
34.0,-1.0682216103547415,3.2389622900849943e-06,4.091149903408245,-1.4633856427010563e-05,0.11122267580021174,0.00010399023493901454,0.0
35.0,-1.0583653232342232,4.885903211587697e-06,4.082428327810835,0.00010388846019716403,0.11484172002620857,0.0001026652553412225,0.0
36.0,-1.048503086339093,3.454035133962328e-06,4.073703298996195,0.0001825693609337899,0.1182378127032984,0.00010252655166527043,0.0
37.0,-1.0386473412375457,6.502690578770382e-07,4.064967138960857,0.0001924505380840197,0.1215516623998314,0.00010350552657044605,0.0
38.0,-1.0287883808035092,-9.369752424873191e-07,4.056246674532296,0.0001673524458204335,0.12476647364965852,0.00010473688482692102,0.0
39.0,-1.018931091467164,-5.063271230920105e-07,4.047527667841449,0.0001555644824285856,0.12793862105094142,0.0001054983615716288,0.0
40.0,-1.0090834558345296,-4.2396046582894014e-08,4.038797259328832,0.00015423540877097027,0.13122709744488353,0.00010609571976853147,0.0
41.0,-0.9992295450865587,-2.16812313153397e-06,4.030078115821918,9.802286549357506e-05,0.1345029879963954,0.00010739289585902271,0.0
42.0,-0.9893717861485211,-6.285629238521433e-06,4.021354104002933,-5.7540759248202396e-05,0.13767216834953977,0.00010941735811802417,0.0
43.0,-0.9795167196786105,-8.779760821283929e-06,4.012622773952641,-0.00026693418437155034,0.1407888993794225,0.00011112145694832149,0.0
44.0,-0.9696577236904649,-5.400014598350722e-06,4.0039064199472225,-0.00038428774198282515,0.1438198472347759,0.00011067139669715523,0.0
45.0,-0.9598043512978435,2.38529179612632e-06,3.995182051323787,-0.0003109640694084826,0.1468654959049787,0.00010755473767705024,0.0
46.0,-0.9499524475251397,8.615979120791888e-06,3.9864607557583636,-9.525194416824187e-05,0.14995270251046874,0.00010377889851038344,0.0
47.0,-0.9400927469142742,7.615706848499844e-06,3.9777469862830075,8.203174216963962e-05,0.15292543722878618,0.00010193133870041126,0.0
48.0,-0.930239121895363,4.541960994065404e-07,3.96901353761387,7.961199962555722e-05,0.15586981691079924,0.00010289014169917126,0.0
49.0,-0.9203852055883414,-7.004223706642111e-06,3.960288032633879,-9.789535076243526e-05,0.15880398185689104,0.0001055485235453958,0.0
50.0,-0.9105878916237938,-7.995949679823456e-06,3.9523555197694598,-0.00028504977410365824,0.1617089866405618,0.0001069543670083173,0.0
51.0,-0.9008012060019271,-2.0876489649655675e-06,3.944418125507339,-0.0003206399432332081,0.16480925724669226,0.00010570593909122125,0.0
52.0,-0.8910097406348408,4.619798329640597e-06,3.9364905993257704,-0.0001978992683196839,0.16799751909007157,0.00010311003151461113,0.0
53.0,-0.881204059803954,4.606019678951734e-06,3.928569339414363,-8.875038246378853e-05,0.17098113176850752,0.00010167773488760606,0.0
54.0,-0.8714062197234332,-1.6824551236409756e-06,3.920627550751289,-0.00013847565542558869,0.17387684529285638,0.000101950526627415,0.0
55.0,-0.8616035423429386,-6.2042544058057584e-06,3.9127122058533796,-0.00028945291137898356,0.17666373688978368,0.00010241141295039913,0.0
56.0,-0.8518027318837,-3.3889220819506266e-06,3.9047976381900447,-0.0003603672108258353,0.17941807185535133,0.00010164588149994496,0.0
57.0,-0.8420098959295388,3.688287229493416e-06,3.896871208565884,-0.00025782363780384046,0.18225105799826746,9.969298114197335e-05,0.0
58.0,-0.8322051958047686,6.340112300559442e-06,3.8889537951201643,-0.00010293571986681655,0.18491274797735902,9.825762500057753e-05,0.0
59.0,-0.8224037209836333,1.4257914299361788e-06,3.881017512593565,-7.778755151341251e-05,0.18741572195198766,9.81634539190502e-05,0.0
60.0,-0.8126014023650623,-5.7271827296297295e-06,3.873098965308548,-0.00022366914484510888,0.18981834800945538,9.870437831849339e-05,0.0
61.0,-0.8028008852610189,-6.47670359476696e-06,3.8651924418856924,-0.0003740854395770824,0.19222842161279644,9.849392248039456e-05,0.0
62.0,-0.7930103246595405,-2.0488943804695525e-07,3.857271089817131,-0.00036415617989601505,0.19480527149741372,9.71236643827217e-05,0.0
