timestep,x,y,z,roll,pitch,yaw,phase
0.0,1.4142135381698608,0.0,4.41421365737915,0.0,-0.0,0.0,0.0
0.0,1.405048004417407,-9.367138829892308e-22,4.407375317563845,-1.1387978431319969e-20,-0.0019782186763803917,1.1263959482953182e-23,0.0
1.0,1.3957860327347575,-5.275807294370965e-08,4.400440761722176,-3.883828010907378e-08,-0.00442170399381002,3.1038163959657475e-07,0.0
2.0,1.3864998986557184,6.783625046442359e-08,4.3933742168750225,2.2000508930384875e-06,-0.0067197654644276916,1.5745175394089842e-07,0.0
3.0,1.3772025608753835,5.184992083585856e-07,4.386174466014828,1.6029936980087822e-05,-0.008608813199099442,2.8223452914949234e-07,0.0
4.0,1.367907978276835,-1.295121085153684e-06,4.378845459084969,-2.4629680519279973e-05,-0.009925646884217158,2.6251549996822675e-06,0.0
5.0,1.3586337858762274,-4.788077904957091e-06,4.371474659871698,-0.00016968378184218646,-0.011109920361382869,-4.243076212558288e-06,0.0
6.0,1.349390499809177,-3.458206867695406e-06,4.36410157880862,-0.00023309758294414885,-0.012863316336353353,-5.574762240190247e-06,0.0
7.0,1.3401613744122651,2.3539776750338325e-06,4.356806349699623,-0.0001517252232392147,-0.015464359264186418,-3.448405813879069e-06,0.0
8.0,1.3309218346530884,5.2476933634029974e-06,4.349592249415311,-8.55142806320538e-06,-0.018681459303967682,-4.359827518610169e-07,0.0
9.0,1.3216662540653814,4.8695672878461075e-06,4.342428431814821,0.0001159555568304685,-0.02216518694684708,2.1820183435029235e-06,0.0
10.0,1.3124029152863546,3.175565257620999e-06,4.335272814071073,0.00019164396763582834,-0.025739097037083714,2.631938445633059e-06,0.0
11.0,1.3031370826884947,7.20842331661328e-07,4.32812440888829,0.0002081518778900801,-0.029339973114186905,2.078364176572547e-06,0.0
12.0,1.2938665054295093,-5.760120679272145e-07,4.320976395613061,0.00018901275585396794,-0.03285876367849513,1.8642548929251562e-06,0.0
13.0,1.2845967708490342,-1.9141966593886175e-06,4.313824408322556,0.00013830876285806756,-0.036314486501621585,4.124979939129168e-07,0.0
14.0,1.2753273880057647,-2.3992575070724143e-06,4.306670442801912,7.756639120262274e-05,-0.03971468565050751,-7.335172074587198e-07,0.0
15.0,1.2660577048388661,-2.407814150754227e-06,4.299516893849264,1.7540218706962444e-05,-0.043044775759369415,-1.5750515371418776e-06,0.0
16.0,1.2567907687766873,-2.409047516258972e-06,4.2923569302708975,-4.12414069778654e-05,-0.04637574869048459,-2.088165534805535e-06,0.0
17.0,1.2475299864889486,-1.8550984640543657e-06,4.285191437370049,-8.691913067505911e-05,-0.04983284605730083,-1.4101217910669105e-06,0.0
18.0,1.2382689041706667,-1.118066281708631e-06,4.278026518215955,-0.000113172299425891,-0.053401315168236194,-4.259540207655809e-07,0.0
19.0,1.229005473450523,-5.869646783199124e-07,4.270863371261394,-0.00012630380547526716,-0.05701919168531938,4.730945082384113e-07,0.0
20.0,1.2197401622426673,-2.421857975977928e-07,4.263696917707848,-0.00013408728056063852,-0.060618954953092524,1.642002499842923e-07,0.0
