x,y,z,h
2.0,0,3.0,False
1.7574389,0,3.1324415,False
1.5146155,0,3.1713812,False
1.2715001,0,3.1590133,False
1.0284115,0,3.1103938,False
0.78502786,0,3.1102269,False
0.5402778,0,3.1891792,False
0.29517454,0,3.2406418,False
0.048740633,0,3.3587544,False
-0.1526434,0,3.5511463,False
-0.11563748,0,3.5735517,False
-0.089391135,0,3.5874991,False
0.10870545,0,3.405097,False
-0.12630245,0,3.5970538,False
0.10392124,0,3.3763556,False
0.27429888,0,3.371641,False
0.06615321,0,3.4935563,False
0.12509885,0,3.3344595,False
0.08156269,0,3.4010856,False
-0.07108414,0,3.389868,False
-0.2291579,0,3.4340947,False
-0.2735479,0,3.4580557,False
-0.24647471,0,3.442505,False
-0.21826868,0,3.4339159,False
-0.16540271,0,3.4005194,False
-0.095195144,0,3.364697,False
-0.007320376,0,3.3528714,False
0.018941376,0,3.337559,False
0.04442709,0,3.3339589,False
0.0721892,0,3.319326,False
