this is the caculated Trajectory to perches the drone and the unit Vector in the diraction the drone continues flying, the time between the steps is assumed to be 0.05
xCoordinates yCoordinates zCoordinates vx vy vz yarnAngel
0.000000000000000000e+00 -1.597772606125302808e-02 2.752690779605525329e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
0.000000000000000000e+00 -1.597772606125302808e-02 2.752690779605525329e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
0.000000000000000000e+00 -1.597772606125302808e-02 2.752690779605525329e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
0.000000000000000000e+00 -1.597772606125302808e-02 2.752690779605525329e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
0.000000000000000000e+00 -1.597772606125302808e-02 2.752690779605525329e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
0.000000000000000000e+00 -1.597772606125302808e-02 2.752690779605525329e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
0.000000000000000000e+00 -1.597772606125302808e-02 2.752690779605525329e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
0.000000000000000000e+00 -1.597772606125302808e-02 2.752690779605525329e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
0.000000000000000000e+00 -1.597772606125302808e-02 2.752690779605525329e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
0.000000000000000000e+00 -1.597772606125302808e-02 2.752690779605525329e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
0.000000000000000000e+00 -1.597772606125302808e-02 2.752690779605525329e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
0.000000000000000000e+00 -1.597772606125302808e-02 2.752690779605525329e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
0.000000000000000000e+00 -1.597772606125302808e-02 2.752690779605525329e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
0.000000000000000000e+00 -1.597772606125302808e-02 2.752690779605525329e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
0.000000000000000000e+00 -1.597772606125302808e-02 2.752690779605525329e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
0.000000000000000000e+00 -1.597772606125302808e-02 2.752690779605525329e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
0.000000000000000000e+00 -1.597772606125302808e-02 2.752690779605525329e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
0.000000000000000000e+00 -1.597772606125302808e-02 2.752690779605525329e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
0.000000000000000000e+00 -1.597772606125302808e-02 2.752690779605525329e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
0.000000000000000000e+00 -1.597772606125302808e-02 2.752690779605525329e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
0.000000000000000000e+00 -1.597772606125302808e-02 2.752690779605525329e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
0.000000000000000000e+00 -1.597772606125302808e-02 2.752690779605525329e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
0.000000000000000000e+00 -1.597772606125302808e-02 2.752690779605525329e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
0.000000000000000000e+00 -1.597772606125302808e-02 2.752690779605525329e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
0.000000000000000000e+00 -1.597772606125302808e-02 2.752690779605525329e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
0.000000000000000000e+00 -1.597772606125302808e-02 2.752690779605525329e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
0.000000000000000000e+00 -1.597772606125302808e-02 2.752690779605525329e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
0.000000000000000000e+00 -1.597772606125302808e-02 2.752690779605525329e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
0.000000000000000000e+00 -1.597772606125302808e-02 2.752690779605525329e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
0.000000000000000000e+00 -1.597772606125302808e-02 2.752690779605525329e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
0.000000000000000000e+00 -1.597772606125302808e-02 2.752690779605525329e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
0.000000000000000000e+00 -1.597772606125302808e-02 2.752690779605525329e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
0.000000000000000000e+00 -1.597772606125302808e-02 2.752690779605525329e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
0.000000000000000000e+00 -1.597772606125302808e-02 2.752690779605525329e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
0.000000000000000000e+00 -1.597772606125302808e-02 2.752690779605525329e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
0.000000000000000000e+00 -1.597772606125302808e-02 2.752690779605525329e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
0.000000000000000000e+00 -1.597772606125302808e-02 2.752690779605525329e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
0.000000000000000000e+00 -1.597772606125302808e-02 2.752690779605525329e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
0.000000000000000000e+00 -1.597772606125302808e-02 2.752690779605525329e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
0.000000000000000000e+00 -1.597772606125302808e-02 2.752690779605525329e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
0.000000000000000000e+00 -1.597772606125302808e-02 2.752690779605525329e+00 0.000000000000000000e+00 4.878869244140489614e-01 8.729068386636686938e-01 0.000000000000000000e+00
0.000000000000000000e+00 -6.477464562939116988e-02 2.665385376108791782e+00 0.000000000000000000e+00 3.921585468575085054e-01 9.198976432878862575e-01 0.000000000000000000e+00
0.000000000000000000e+00 -1.039971131959207540e-01 2.573380099754337902e+00 0.000000000000000000e+00 2.919705195652895213e-01 9.564273185688365597e-01 0.000000000000000000e+00
0.000000000000000000e+00 -1.331990885852096795e-01 2.477721239880146697e+00 0.000000000000000000e+00 1.884621865935408036e-01 9.820804469209135634e-01 0.000000000000000000e+00
0.000000000000000000e+00 -1.520484852397425701e-01 2.379496634587852988e+00 0.000000000000000000e+00 8.281065070714743737e-02 9.965652994809014453e-01 0.000000000000000000e+00
0.000000000000000000e+00 -1.603309467277092004e-01 2.279823299784771606e+00 0.000000000000000000e+00 2.378261270118342194e-02 9.997171536655282686e-01 0.000000000000000000e+00
0.000000000000000000e+00 -1.579522844167779994e-01 2.179834726414223489e+00 0.000000000000000000e+00 1.301054188587480731e-01 9.915001664062340625e-01 0.000000000000000000e+00
0.000000000000000000e+00 -1.449395485926849858e-01 2.080667990330801409e+00 0.000000000000000000e+00 2.349486586483880146e-01 9.720077817586252333e-01 0.000000000000000000e+00
0.000000000000000000e+00 -1.214407208418151196e-01 1.983450821407807929e+00 0.000000000000000000e+00 3.371200486674811869e-01 9.414616682512544354e-01 0.000000000000000000e+00
0.000000000000000000e+00 -8.772303119602109511e-02 1.889288778927747936e+00 0.000000000000000000e+00 4.354576899439245308e-01 9.002091980582629382e-01 0.000000000000000000e+00
0.000000000000000000e+00 -4.416991917720425320e-02 1.799252679098050089e+00 0.000000000000000000e+00 5.288432811186440929e-01 8.487194966628649473e-01 0.000000000000000000e+00
0.000000000000000000e+00 8.723326699163092002e-03 1.714366417667067877e+00 0.000000000000000000e+00 6.162148358334709197e-01 7.875781079351612535e-01 0.000000000000000000e+00
0.000000000000000000e+00 7.035520137375605998e-02 1.635595326122250448e+00 0.000000000000000000e+00 6.965787597016206423e-01 7.174803352932760392e-01 0.000000000000000000e+00
0.000000000000000000e+00 1.400248235938157393e-01 1.563835193884488994e+00 0.000000000000000000e+00 7.690211495206459302e-01 6.392233346725887388e-01 0.000000000000000000e+00
0.000000000000000000e+00 2.169399063753938428e-01 1.499902081338877924e+00 0.000000000000000000e+00 8.327181862326817896e-01 5.536970492221832130e-01 0.000000000000000000e+00
0.000000000000000000e+00 3.002257669368824100e-01 1.444523039548693433e+00 0.000000000000000000e+00 8.869455034425184348e-01 4.618740888197750971e-01 0.000000000000000000e+00
0.000000000000000000e+00 3.889352736423268286e-01 1.398327842188538561e+00 0.000000000000000000e+00 9.310864249542676330e-01 3.647986694957657816e-01 0.000000000000000000e+00
0.000000000000000000e+00 4.820596168373099122e-01 1.361841823721600342e+00 0.000000000000000000e+00 9.646389776488162315e-01 2.635747385480001759e-01 0.000000000000000000e+00
0.000000000000000000e+00 5.785397810908472493e-01 1.335479905265665845e+00 0.000000000000000000e+00 9.872215999512488072e-01 1.593534203890724921e-01 0.000000000000000000e+00
0.000000000000000000e+00 6.772785883802741047e-01 1.319541876086113064e+00 0.000000000000000000e+00 9.985774809712014699e-01 5.331992589276363798e-02 0.000000000000000000e+00
0.000000000000000000e+00 7.771531752633463741e-01 1.314208984375000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
0.000000000000000000e+00 1.777153175263346263e+00 1.314208984375000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
