Timestamp,drone_x,drone_y,drone_z,payload_x,payload_y,payload_z,round_bar_x,round_bar_y,round_bar_z
1717790532221564401,-60.8387336730957,78.49423217773438,2500.186767578125,-366.64349365234375,-43.9570198059082,1511.287353515625,-1668.4786376953125,131.85055541992188,1818.8287353515625
1717790532221576720,-60.8387336730957,78.49423217773438,2500.186767578125,-366.4185485839844,-42.24222755432129,1509.992919921875,-1668.4786376953125,131.85055541992188,1818.8287353515625
1717790532221603367,-60.81708908081055,78.44425964355469,2499.206298828125,-366.193603515625,-40.527435302734375,1508.698486328125,-1668.4786376953125,131.85055541992188,1818.8287353515625
1717790532221613971,-60.79544448852539,78.394287109375,2498.225830078125,-365.87977600097656,-38.72639274597168,1507.2897338867188,-1668.4786376953125,131.85055541992188,1818.8287353515625
1717790532225763599,-60.76719093322754,78.35905456542969,2497.2872314453125,-365.5659484863281,-36.925350189208984,1505.8809814453125,-1668.4786376953125,131.85055541992188,1818.8287353515625
1717790532225769392,-60.73893737792969,78.32382202148438,2496.3486328125,-365.1870422363281,-35.64921188354492,1504.8826904296875,-1668.4786376953125,131.85055541992188,1818.8287353515625
1717790532225771879,-60.7367057800293,78.26778920491536,2495.6874186197915,-364.8081359863281,-34.37307357788086,1503.8843994140625,-1668.4786376953125,131.85055541992188,1818.8287353515625
1717790532232908932,-60.734474182128906,78.21175638834636,2495.0262044270835,-364.4292297363281,-33.0969352722168,1502.8861083984375,-1668.4699300130208,131.84988403320312,1818.8172607421875
1717790532232913309,-60.732242584228516,78.15572357177734,2494.364990234375,-363.9814453125,-31.81475766499837,1501.9383544921875,-1668.4612223307292,131.84921264648438,1818.8057861328125
1717790532232915561,-60.69939422607422,78.15150960286458,2493.7202962239585,-363.5336608886719,-30.53258005777995,1500.9906005859375,-1668.4525146484375,131.84854125976562,1818.7943115234375
1717790532243105869,-60.66654586791992,78.14729563395183,2493.0756022135415,-363.08587646484375,-29.250402450561523,1500.0428466796875,-1668.4618733723958,131.83670552571616,1818.8079020182292
1717790532243113401,-60.633697509765625,78.14308166503906,2492.430908203125,-362.5183817545573,-27.946685155232746,1499.0738932291667,-1668.4712320963542,131.82486979166666,1818.8214925130208
1717790532243115930,-60.62984720865885,78.10353597005208,2491.800537109375,-361.9508870442708,-26.642967859903973,1498.1049397786458,-1668.4805908203125,131.8130340576172,1818.8350830078125
1717790532253321759,-60.625996907552086,78.06399027506511,2491.170166015625,-361.3833923339844,-25.339250564575195,1497.135986328125,-1668.47216796875,131.83153279622397,1818.8223470052083
1717790532253328530,-60.62214660644531,78.02444458007812,2490.539794921875,-360.6916097005208,-23.999752044677734,1496.1398518880208,-1668.4637451171875,131.85003153483072,1818.8096110026042
1717790532253330596,-60.61200459798177,78.01281229654948,2489.8868815104165,-359.9998270670573,-22.660253524780273,1495.1437174479167,-1668.455322265625,131.8685302734375,1818.796875
1717790532264314872,-60.60186258951823,78.00118001302083,2489.2339680989585,-359.30804443359375,-21.320755004882812,1494.1475830078125,-1668.4607340494792,131.87403869628906,1818.8011881510417
1717790532264326849,-60.59172058105469,77.98954772949219,2488.5810546875,-358.7068862915039,-20.311623096466064,1493.4330139160156,-1668.4661458333333,131.87954711914062,1818.8055013020833
1717790532264329663,-60.55745887756348,77.95041275024414,2487.638916015625,-358.10572814941406,-19.302491188049316,1492.7184448242188,-1668.4715576171875,131.8850555419922,1818.809814453125
1717790532273953389,-60.523197174072266,77.9112777709961,2486.69677734375,-357.5045700073242,-18.29335927963257,1492.0038757324219,-1668.4750162760417,131.8859608968099,1818.812744140625
1717790532273976413,-60.50925540924072,77.87112617492676,2486.23681640625,-356.9034118652344,-17.28422737121582,1491.289306640625,-1668.4784749348958,131.8868662516276,1818.815673828125
1717790532273978990,-60.49531364440918,77.83097457885742,2485.77685546875,-355.57640075683594,-15.160826206207275,1489.71435546875,-1668.48193359375,131.8877716064453,1818.818603515625
1717790532293885855,-60.48137187957764,77.79082298278809,2485.31689453125,-354.2493896484375,-13.03742504119873,1488.139404296875,-1668.4872639973958,131.8679656982422,1818.826171875
1717790532293897441,-60.467430114746094,77.75067138671875,2484.85693359375,-353.2704569498698,-11.67907746632894,1487.1238606770833,-1668.4925944010417,131.84815979003906,1818.833740234375
1717790532293900275,-60.446118672688804,77.73769887288411,2484.2076822916665,-352.29152425130206,-10.320729891459147,1486.1083170572917,-1668.4979248046875,131.82835388183594,1818.84130859375
1717790532300125898,-60.42480723063151,77.72472635904948,2483.5584309895835,-351.3125915527344,-8.962382316589355,1485.0927734375,-1668.4932047526042,131.81723022460938,1818.8409423828125
1717790532300133191,-60.40349578857422,77.71175384521484,2482.9091796875,-350.2036539713542,-7.466785589853923,1484.001708984375,-1668.4884847005208,131.8061065673828,1818.840576171875
1717790532300135905,-60.38033803304037,77.66082763671875,2482.2803548177085,-349.09471638997394,-5.97118886311849,1482.91064453125,-1668.4837646484375,131.79498291015625,1818.8402099609375
1717790532304383338,-60.35718027750651,77.60990142822266,2481.6515299479165,-347.98577880859375,-4.475592136383057,1481.819580078125,-1668.4814860026042,131.8062540690104,1818.8377278645833
1717790532304395965,-60.334022521972656,77.55897521972656,2481.022705078125,-346.75352986653644,-3.097805867592494,1480.781982421875,-1668.4792073567708,131.8175252278646,1818.8352457682292
1717790532304421668,-60.3113759358724,77.54286702473958,2480.3850911458335,-345.5212809244792,-1.720019598801931,1479.744384765625,-1668.4769287109375,131.82879638671875,1818.832763671875
