x,y,z,h
1.9615705,0,3.3901806,False
1.724654,0,3.4336145,False
1.4856155,0,3.4332151,False
1.2466635,0,3.4242089,False
1.0081048,0,3.3873196,False
0.7702763,0,3.350305,False
0.5305017,0,3.3268745,False
0.2891127,0,3.3153052,False
0.05089497,0,3.3202584,False
-0.15062758,0,3.318369,False
0.09204905,0,3.3259864,False
-0.11549636,0,3.3266659,False
0.123630024,0,3.3407743,False
-0.08424197,0,3.3440228,False
0.14864273,0,3.3658142,False
-0.053605456,0,3.3710833,False
0.1690223,0,3.3855493,False
-0.012950916,0,3.3776278,False
0.19179763,0,3.3680136,False
0.03214806,0,3.3361847,False
0.20572947,0,3.314435,False
0.08686179,0,3.2705302,False
0.19558439,0,3.2434816,False
0.15218252,0,3.2088156,False
0.1589536,0,3.197443,False
0.16518937,0,3.1830068,False
0.16730757,0,3.172254,False
0.16535589,0,3.1652088,False
0.16094254,0,3.164416,False
0.15860865,0,3.1671877,False
0.1546848,0,3.1750555,False
0.14919297,0,3.1845207,False
0.14397943,0,3.1940038,False
0.1400254,0,3.202432,False
0.1378111,0,3.212076,False
0.13710888,0,3.222912,False
0.13685966,0,3.2348628,False
0.1365214,0,3.2476122,False
0.13623716,0,3.2608206,False
0.13612689,0,3.272384,False
0.13564782,0,3.2825286,False
0.13421619,0,3.2926316,False
0.13000438,0,3.3032115,False
0.1237615,0,3.314286,False
0.11548297,0,3.3258433,False
0.10883575,0,3.3366973,False
0.10751122,0,3.3446069,False
0.1089151,0,3.3507164,False
0.111489646,0,3.3529813,False
0.11396063,0,3.3541734,False
0.115693636,0,3.3554192,False
0.1173214,0,3.355276,False
0.119154245,0,3.3531303,False
0.12078294,0,3.3502216,False
0.12180237,0,3.347295,False
0.12089973,0,3.3454115,False
0.119140275,0,3.3440228,False
0.11626994,0,3.3438141,False
0.112575755,0,3.3446248,False
0.10859025,0,3.3458288,False
0.104355715,0,3.3474321,False
0.09980397,0,3.3484514,False
0.094911546,0,3.3491666,False
0.08955998,0,3.350162,False
0.084035374,0,3.3513422,False
0.079512686,0,3.3519025,False
0.07627038,0,3.351515,False
0.07384,0,3.3506327,False
0.07149083,0,3.3499174,False
0.069139056,0,3.3493392,False
0.066801995,0,3.3488207,False
0.064482816,0,3.348326,False
0.06217312,0,3.348159,False
0.059903488,0,3.3484392,False
0.05771702,0,3.3488982,False
0.05566122,0,3.349226,False
0.053317267,0,3.3473008,False
0.05020283,0,3.3453279,False
0.046497937,0,3.3435993,False
0.04230568,0,3.3420258,False
0.037662666,0,3.3406668,False
0.032550637,0,3.3396535,False
0.026922505,0,3.3391528,False
0.02130868,0,3.3385687,False
0.016063284,0,3.3375673,False
0.011150164,0,3.3362381,False
0.006539069,0,3.3346467,False
0.002425885,0,3.3326142,False
-0.000973413,0,3.3299856,False
-0.0030810484,0,3.326177,False
-0.0039425567,0,3.321343,False
-0.0037484856,0,3.3154778,False
-0.002537289,0,3.3087366,False
-0.0003445244,0,3.3012204,False
0.0029931862,0,3.2933526,False
0.007522662,0,3.2851152,False
0.013231739,0,3.276097,False
0.020263877,0,3.26569,False
0.028537467,0,3.2540553,False
0.037975132,0,3.2413118,False
