x,y,z,h
1.6629392,0,4.1111403,False
1.4156008,0,3.8882635,False
1.1691594,0,3.6863885,False
0.9244431,0,3.5317264,False
0.6822337,0,3.4280083,False
0.43984097,0,3.3726773,False
0.19873059,0,3.3559344,False
-0.037928868,0,3.3630512,False
-0.101719216,0,3.36264,False
0.12991269,0,3.3602498,False
-0.09338414,0,3.3622763,False
0.1392546,0,3.369393,False
-0.07866499,0,3.3728027,False
0.15141712,0,3.3895695,False
-0.057229307,0,3.392979,False
0.16535316,0,3.4087741,False
-0.025388407,0,3.4027004,False
0.18449494,0,3.397181,False
0.014198914,0,3.3660078,False
0.20251195,0,3.3475065,False
0.06049374,0,3.3066356,False
0.20531254,0,3.2796705,False
0.12163283,0,3.235408,False
0.16910459,0,3.216573,False
0.16215059,0,3.1964445,False
0.1641615,0,3.1827712,False
0.16735482,0,3.172239,False
0.16535956,0,3.1652057,False
0.16094323,0,3.164413,False
0.15860821,0,3.1671906,False
0.15468511,0,3.1750584,False
0.14919366,0,3.1845176,False
0.143979,0,3.1940007,False
0.1400246,0,3.2024288,False
0.13781029,0,3.2120728,False
0.1371077,0,3.222915,False
0.1368596,0,3.2348657,False
0.13652171,0,3.2476091,False
0.1362371,0,3.2608235,False
0.13612758,0,3.2723868,False
0.1356485,0,3.2825315,False
0.13421687,0,3.2926345,False
0.13000506,0,3.3032143,False
0.123762555,0,3.3142889,False
0.115484215,0,3.3258462,False
0.108837366,0,3.3366942,False
0.10751172,0,3.3446038,False
0.10891485,0,3.3507192,False
0.11148996,0,3.3529842,False
0.11396132,0,3.3541763,False
0.115694694,0,3.355422,False
0.117322646,0,3.355273,False
0.11915456,0,3.3531272,False
0.12078251,0,3.3502245,False
0.12180268,0,3.347292,False
0.1208993,0,3.3454144,False
0.11914059,0,3.3440256,False
0.11627081,0,3.343817,False
0.112577,0,3.3446217,False
0.10859038,0,3.3458257,False
0.10435528,0,3.347429,False
0.099803165,0,3.3484483,False
0.094910555,0,3.3491695,False
0.08955992,0,3.350165,False
0.08403569,0,3.351339,False
0.07951244,0,3.3519053,False
0.07627069,0,3.351518,False
0.073840685,0,3.3506298,False
0.07149096,0,3.3499146,False
0.06913881,0,3.3493423,False
0.06680231,0,3.3488238,False
0.0644835,0,3.348329,False
0.062174007,0,3.3481622,False
0.05990456,0,3.3484423,False
0.057718188,0,3.3489013,False
0.055662386,0,3.349229,False
0.05331862,0,3.3473039,False
0.050204277,0,3.345331,False
0.04649957,0,3.3436024,False
0.0423075,0,3.3420289,False
0.037664577,0,3.3406699,False
0.032552734,0,3.3396566,False
0.026924789,0,3.339156,False
0.021311102,0,3.3385718,False
0.016065894,0,3.3375704,False
0.011152863,0,3.3362412,False
0.0065418812,0,3.3346498,False
0.0024286506,0,3.3326113,False
-0.0009707216,0,3.3299828,False
-0.0030783117,0,3.326174,False
-0.003939954,0,3.32134,False
-0.0037459712,0,3.315475,False
-0.002534955,0,3.3087397,False
-0.00034224917,0,3.3012176,False
0.0029953136,0,3.2933497,False
0.0075246976,0,3.2851124,False
0.013233635,0,3.2760942,False
0.020265633,0,3.2656872,False
0.028539177,0,3.2540584,False
0.03797664,0,3.241315,False
