Metric,X,Y,Z,Total
MBE,-0.004584277400201867,0.00350318621741332,0.014480261154597647,0.05300101073652224
MAE,0.1816913947680041,0.21423723685148469,0.043271402048124116,0.07990242995648261
RMSE,0.21926087123317922,0.2683816021970286,0.060661482172948186,0.11274342368570824
SD,0.21921294226083188,0.26835873767062296,0.05890787261744869,0.09950865512749214
