x,y,z,h
1.9615705,0,3.3901806,False
1.7191763,0,3.4062023,False
1.4777656,0,3.410166,False
1.2368764,0,3.413623,False
0.99854726,0,3.4186835,False
0.76515186,0,3.4238036,False
0.5290087,0,3.4267004,False
0.28946424,0,3.425836,False
0.04848931,0,3.4255738,False
-0.16308968,0,3.4292693,False
0.08222677,0,3.3882673,False
-0.12468064,0,3.3887858,False
0.11518118,0,3.3794458,False
-0.08362805,0,3.3763523,False
0.13534886,0,3.3420737,False
-0.046353087,0,3.3367808,False
0.112117216,0,3.3111925,False
-0.029466335,0,3.314733,False
0.11123924,0,3.30252,False
0.015552598,0,3.3132548,False
0.104797564,0,3.3095355,False
0.07230521,0,3.3262308,False
0.10719386,0,3.3268805,False
0.11445482,0,3.333449,False
0.11846249,0,3.3345337,False
0.11539173,0,3.3355172,False
0.10697686,0,3.3381696,False
0.091073595,0,3.3434625,False
0.060437188,0,3.3493037,False
0.014736071,0,3.3578749,False
-0.0435945,0,3.3770914,False
-0.07824119,0,3.4001942,False
-0.10211993,0,3.4083302,False
-0.11359885,0,3.406685,False
-0.119035356,0,3.401732,False
-0.12538677,0,3.3942337,False
-0.13022853,0,3.3831472,False
-0.1337832,0,3.3701713,False
-0.13586788,0,3.356188,False
-0.13680032,0,3.3415194,False
-0.13661592,0,3.327417,False
-0.13572073,0,3.3154066,False
-0.13687743,0,3.3072884,False
-0.1383139,0,3.301024,False
-0.1396375,0,3.294986,False
-0.14089441,0,3.2890375,False
-0.14211668,0,3.2831426,False
-0.14331995,0,3.2772775,False
-0.14451316,0,3.2714303,False
-0.14570041,0,3.265589,False
-0.14745614,0,3.2614703,False
-0.14945066,0,3.258943,False
-0.15138967,0,3.2572384,False
-0.15330373,0,3.2558317,False
-0.15517308,0,3.254586,False
-0.15700592,0,3.2534297,False
-0.15881418,0,3.252321,False
-0.16060679,0,3.2512362,False
-0.16239083,0,3.2501633,False
-0.16447252,0,3.2493408,False
-0.16672707,0,3.2487328,False
-0.16841313,0,3.2478924,False
-0.16955195,0,3.2467182,False
-0.16994832,0,3.2452579,False
-0.16885123,0,3.2434816,False
-0.16728884,0,3.2415683,False
-0.1655916,0,3.2395716,False
-0.1638571,0,3.2375271,False
-0.16192368,0,3.2353754,False
-0.15992282,0,3.233158,False
-0.15862791,0,3.2316442,False
-0.15774651,0,3.2311196,False
-0.1561789,0,3.2317038,False
-0.15433824,0,3.2331343,False
-0.15247299,0,3.235572,False
-0.1505932,0,3.2388027,False
-0.1487097,0,3.2425935,False
-0.14682545,0,3.2467718,False
-0.14494045,0,3.2512183,False
-0.14305583,0,3.2558556,False
-0.14117083,0,3.260624,False
-0.13928583,0,3.2654817,False
-0.13740084,0,3.270405,False
-0.13551584,0,3.275376,False
-0.13363084,0,3.280377,False
-0.13174585,0,3.2854016,False
-0.12986085,0,3.2904382,False
-0.12797585,0,3.2954867,False
-0.12607633,0,3.300565,False
-0.12403375,0,3.3058639,False
-0.121962115,0,3.3113058,False
-0.11988713,0,3.316837,False
-0.11781382,0,3.322434,False
-0.11575001,0,3.3280368,False
-0.11369998,0,3.3336039,False
-0.11165256,0,3.3391411,False
-0.10960514,0,3.3446665,False
-0.107536115,0,3.3501322,False
-0.10544865,0,3.3558602,False
-0.10331499,0,3.362387,False
