x,y,z,h
1.9615705,0,3.3901806,False
1.7145808,0,3.562289,False
1.4680411,0,3.7209446,False
1.2227709,0,3.8254137,False
0.97869885,0,3.8092668,False
0.73421997,0,3.6728973,False
0.48924786,0,3.4755583,False
0.24543953,0,3.2715256,False
0.010965191,0,3.1550999,False
-0.15924905,0,3.3185716,False
-0.29813036,0,3.5359795,False
-0.42312503,0,3.7710125,False
-0.52438885,0,4.0024037,False
-0.44876793,0,4.167783,False
-0.27625048,0,4.0757413,False
-0.21689543,0,3.8808222,False
-0.2723188,0,3.718644,False
-0.3704735,0,3.829145,False
-0.33473158,0,3.9221818,False
-0.23477459,0,3.7968273,False
-0.27231672,0,3.6514337,False
-0.34691045,0,3.714561,False
-0.26428425,0,3.7609751,False
-0.255804,0,3.6280806,False
-0.2840499,0,3.5789723,False
-0.26462027,0,3.607678,False
-0.23692274,0,3.5474892,False
-0.25575185,0,3.5011942,False
-0.21726066,0,3.5004969,False
-0.23667315,0,3.447717,False
-0.20024204,0,3.4482653,False
-0.22154437,0,3.4136767,False
-0.17745519,0,3.4142668,False
-0.20531365,0,3.388911,False
-0.15942068,0,3.396296,False
-0.1849162,0,3.3733602,False
-0.14926592,0,3.3807392,False
-0.16167635,0,3.369325,False
-0.14311956,0,3.3726985,False
-0.13901131,0,3.3694441,False
-0.12860359,0,3.3696527,False
-0.12109713,0,3.36855,False
-0.11229483,0,3.368097,False
-0.10408038,0,3.367364,False
-0.095601246,0,3.366762,False
-0.087565236,0,3.3686335,False
-0.079264544,0,3.3726091,False
-0.07122816,0,3.375631,False
-0.06339555,0,3.3778424,False
-0.054225378,0,3.3806736,False
-0.04279302,0,3.3838089,False
-0.030634794,0,3.386485,False
-0.018788418,0,3.3909674,False
-0.011294498,0,3.3948357,False
-0.0019557602,0,3.399479,False
0.006276504,0,3.403705,False
0.015131168,0,3.4080918,False
0.023673816,0,3.4123416,False
0.032915983,0,3.4163232,False
0.04216206,0,3.420114,False
0.051533867,0,3.4239109,False
0.061088398,0,3.4269924,False
0.0712197,0,3.4295733,False
0.0814255,0,3.4325178,False
0.09141096,0,3.4361537,False
0.1062622,0,3.4440334,False
0.117746525,0,3.4512694,False
0.12927306,0,3.4572835,False
0.14194389,0,3.4629638,False
0.15575205,0,3.4661884,False
0.16835843,0,3.4668977,False
0.18262815,0,3.467768,False
0.19631487,0,3.467476,False
0.21046501,0,3.4661527,False
0.22472133,0,3.4636135,False
0.2395573,0,3.4608598,False
0.2539466,0,3.457355,False
0.2685706,0,3.4569676,False
0.27870563,0,3.4565384,False
0.29114512,0,3.459155,False
0.300471,0,3.460514,False
0.31246868,0,3.4640129,False
0.321653,0,3.4657772,False
0.33382353,0,3.4701164,False
0.34333867,0,3.47349,False
0.35365847,0,3.478753,False
0.36232126,0,3.4836645,False
0.37179616,0,3.4893508,False
0.38205263,0,3.496563,False
0.39168698,0,3.5046751,False
0.40042725,0,3.51268,False
0.40940222,0,3.5210187,False
0.41826096,0,3.5294707,False
0.4271197,0,3.5380418,False
0.43578547,0,3.5465832,False
0.44438493,0,3.5551722,False
0.45221475,0,3.5632308,False
0.46051842,0,3.571641,False
0.46861348,0,3.579914,False
0.47681507,0,3.5882707,False
