x,y,z,h
1.6629392,0,4.1111403,False
1.4191025,0,4.0570073,False
1.1760616,0,3.9660149,False
0.9326035,0,3.831499,False
0.6879264,0,3.6566012,False
0.44284868,0,3.447961,False
0.19954997,0,3.2484822,False
-0.030741509,0,3.1881742,False
-0.19403431,0,3.3705347,False
-0.33005807,0,3.5940044,False
-0.45316103,0,3.8312607,False
-0.5491499,0,4.06081,False
-0.45670903,0,4.2190127,False
-0.27630737,0,4.1152053,False
-0.21159461,0,3.9164808,False
-0.26841548,0,3.7467923,False
-0.3683926,0,3.8451757,False
-0.35738137,0,3.9518263,False
-0.2488823,0,3.8521018,False
-0.26509175,0,3.6956336,False
-0.33925855,0,3.7176337,False
-0.3040918,0,3.7934031,False
-0.2380901,0,3.686854,False
-0.28127506,0,3.58251,False
-0.3061168,0,3.6417332,False
-0.21701664,0,3.6114779,False
-0.2669107,0,3.5070505,False
-0.23631433,0,3.539249,False
-0.23483129,0,3.4844365,False
-0.22125745,0,3.46252,False
-0.2173295,0,3.4341063,False
-0.20424815,0,3.4196463,False
-0.2003757,0,3.4068968,False
-0.18640736,0,3.4001198,False
-0.1844486,0,3.3904698,False
-0.16851814,0,3.3858743,False
-0.16690025,0,3.376266,False
-0.15409717,0,3.3748534,False
-0.14677548,0,3.3712173,False
-0.13739967,0,3.3702934,False
-0.12934001,0,3.36931,False
-0.120766625,0,3.3687139,False
-0.11244451,0,3.3680224,False
-0.10401269,0,3.3673966,False
-0.095631905,0,3.366747,False
-0.08755045,0,3.3686364,False
-0.07927006,0,3.372606,False
-0.071226224,0,3.375634,False
-0.06339641,0,3.3778393,False
-0.05422466,0,3.3806705,False
-0.042791743,0,3.3838058,False
-0.030633327,0,3.386482,False
-0.018786997,0,3.3909702,False
-0.011296802,0,3.3948326,False
-0.0019530915,0,3.3994818,False
0.0062738084,0,3.4037077,False
0.015130288,0,3.4080946,False
0.02367238,0,3.4123385,False
0.032918494,0,3.41632,False
0.042163268,0,3.420111,False
0.05153554,0,3.4239078,False
0.061089978,0,3.4269893,False
0.07122128,0,3.4295702,False
0.08142727,0,3.4325206,False
0.091408625,0,3.4361565,False
0.10625968,0,3.4440362,False
0.11774438,0,3.4512722,False
0.12927079,0,3.4572864,False
0.14194125,0,3.4629667,False
0.15574978,0,3.4661913,False
0.16835654,0,3.4669006,False
0.18262626,0,3.4677708,False
0.19631298,0,3.4674788,False
0.21046312,0,3.4661555,False
0.22471906,0,3.4636164,False
0.2395554,0,3.4608626,False
0.2539447,0,3.457358,False
0.26856944,0,3.4569645,False
0.27870893,0,3.4565413,False
0.29114097,0,3.459152,False
0.30047432,0,3.460517,False
0.31246528,0,3.4640157,False
0.32165185,0,3.46578,False
0.33382162,0,3.4701192,False
0.34333676,0,3.473487,False
0.35366178,0,3.478756,False
0.3623186,0,3.4836614,False
0.37179947,0,3.4893537,False
0.38204998,0,3.4965599,False
0.39168954,0,3.504672,False
0.40042907,0,3.512677,False
0.40940404,0,3.5210216,False
0.4182583,0,3.5294735,False
0.4271178,0,3.5380387,False
0.43578804,0,3.54658,False
0.44438675,0,3.555169,False
0.4522173,0,3.5632277,False
0.46052098,0,3.5716379,False
0.46861604,0,3.579917,False
0.47681317,0,3.5882676,False
