x,y,z,h
1.847759,0,3.7653668,False
1.6020806,0,3.8826032,False
1.3574244,0,3.9412422,False
1.1139185,0,3.903572,False
0.8701407,0,3.7794156,False
0.6253548,0,3.59845,False
0.38034883,0,3.387068,False
0.13774097,0,3.207199,False
-0.07916667,0,3.240983,False
-0.23213822,0,3.4396393,False
-0.364924,0,3.6682708,False
-0.48410648,0,3.9054794,False
-0.5155863,0,4.1177554,False
-0.37809628,0,4.189138,False
-0.21289828,0,4.0072007,False
-0.24223159,0,3.8134677,False
-0.32108486,0,3.755377,False
-0.40001482,0,3.9033873,False
-0.29220343,0,3.9366705,False
-0.23050603,0,3.7659569,False
-0.28099176,0,3.6371512,False
-0.3571717,0,3.7328882,False
-0.2534328,0,3.7672443,False
-0.25751647,0,3.6221666,False
-0.2865648,0,3.5828454,False
-0.26060697,0,3.609602,False
-0.24221729,0,3.5442812,False
-0.25098962,0,3.5056574,False
-0.22179824,0,3.495036,False
-0.23283516,0,3.451161,False
-0.20506684,0,3.4444077,False
-0.21675569,0,3.414659,False
-0.18372764,0,3.4116788,False
-0.20242263,0,3.3922775,False
-0.16347659,0,3.3958359,False
-0.18323478,0,3.3755941,False
-0.15164693,0,3.3805354,False
-0.16064574,0,3.3702953,False
-0.14364463,0,3.3725185,False
-0.13878387,0,3.369574,False
-0.12870882,0,3.3696098,False
-0.121050745,0,3.3685727,False
-0.11231587,0,3.368084,False
-0.1040705,0,3.3673687,False
-0.09560571,0,3.3667548,False
-0.087562434,0,3.3686323,False
-0.07926547,0,3.372608,False
-0.07122778,0,3.37563,False
-0.063395545,0,3.3778412,False
-0.054224998,0,3.3806725,False
-0.042792454,0,3.3838077,False
-0.030634224,0,3.386484,False
-0.018787848,0,3.3909662,False
-0.011294021,0,3.3948345,False
-0.0019551623,0,3.3994777,False
0.006277043,0,3.4037097,False
0.015128006,0,3.4080906,False
0.023675593,0,3.4123404,False
0.032916214,0,3.416322,False
0.042162757,0,3.4201128,False
0.05153447,0,3.4239097,False
0.061089,0,3.4269912,False
0.0712203,0,3.429572,False
0.08142611,0,3.4325166,False
0.09141193,0,3.4361525,False
0.10626336,0,3.4440322,False
0.1177475,0,3.4512682,False
0.12927392,0,3.4572823,False
0.14194475,0,3.4629626,False
0.15575291,0,3.4661872,False
0.16835892,0,3.4668965,False
0.18262865,0,3.4677668,False
0.19631574,0,3.4674807,False
0.21046066,0,3.4661515,False
0.22472331,0,3.4636183,False
0.2395522,0,3.4608586,False
0.25394922,0,3.4573598,False
0.26856577,0,3.4569664,False
0.278709,0,3.4565432,False
0.29113954,0,3.459154,False
0.3004729,0,3.4605188,False
0.3124646,0,3.4640176,False
0.32165042,0,3.465782,False
0.3338202,0,3.4701211,False
0.34333608,0,3.4734888,False
0.35366035,0,3.4787579,False
0.36231717,0,3.4836633,False
0.37179804,0,3.4893556,False
0.38204855,0,3.4965618,False
0.3916881,0,3.504674,False
0.40042764,0,3.5126789,False
0.40940335,0,3.5210235,False
0.41825688,0,3.5294695,False
0.42712158,0,3.5380406,False
0.4357866,0,3.546582,False
0.44438532,0,3.555171,False
0.45221588,0,3.5632296,False
0.46051955,0,3.5716398,False
0.4686146,0,3.579913,False
0.4768162,0,3.5882695,False
