x,y,z,h
1.6629392,0,4.1111403,False
1.438182,0,3.9526396,False
1.2126708,0,3.7890427,False
0.9833598,0,3.615629,False
0.7529178,0,3.4381561,False
0.50905883,0,3.3069365,False
0.26567146,0,3.2990031,False
0.023532063,0,3.3028774,False
-0.13888326,0,3.302335,False
-0.17582324,0,3.2891088,False
-0.17357801,0,3.288185,False
-0.17668788,0,3.2949202,False
-0.19122769,0,3.308367,False
-0.21017079,0,3.3306115,False
-0.24098565,0,3.3556216,False
-0.2847809,0,3.3746653,False
-0.3277022,0,3.3916466,False
-0.37556696,0,3.406351,False
-0.43193656,0,3.4149044,False
-0.47183517,0,3.4228735,False
-0.515047,0,3.4080856,False
-0.5321774,0,3.379827,False
-0.5629766,0,3.3463292,False
-0.5989957,0,3.2971911,False
-0.6492096,0,3.2279663,False
-0.7289621,0,3.1348937,False
-0.8431259,0,3.0250125,False
-0.9974289,0,2.8905444,False
-1.1543471,0,2.7716331,False
-1.2911636,0,2.6792638,False
