x,y,z,h
1.847759,0,3.7653668,False
1.634276,0,3.7347836,False
1.4252843,0,3.697036,False
1.2164385,0,3.6364777,False
1.0064275,0,3.5533054,False
0.7889749,0,3.4287853,False
0.5561681,0,3.3191485,False
0.32152486,0,3.2959266,False
0.089075446,0,3.2976432,False
-0.09402908,0,3.2966716,False
-0.17436242,0,3.2966537,False
-0.1791889,0,3.3018394,False
-0.19377863,0,3.3150895,False
-0.21238385,0,3.3373935,False
-0.24518876,0,3.3617837,False
-0.28939682,0,3.3793135,False
-0.3312579,0,3.3969803,False
-0.3792188,0,3.4111006,False
-0.4358216,0,3.4203393,False
-0.4738583,0,3.4272058,False
-0.5172281,0,3.4113986,False
-0.53187,0,3.382234,False
-0.564356,0,3.34817,False
-0.59880155,0,3.29843,False
-0.648786,0,3.2291813,False
-0.72836125,0,3.1361682,False
-0.84218377,0,3.0262454,False
-0.99626774,0,2.8918965,False
-1.1533557,0,2.772705,False
-1.2903451,0,2.6799781,False
