#{"t_start": 1718180048.745562, "env_id": "None"}
r,l,t,num_wraps,c
-34.086821,13,702.843508,0.9031536122471006,0
-309.170615,100,707.50971,0.0,0
-45.183619,17,708.297292,0.9046594345544793,0
-45.026455,17,709.076025,0.9028305545090395,0
-275.683893,89,713.046575,1.1245486290007978,0
-296.193696,100,717.513218,0.0,0
-42.875704,16,718.253724,0.9099738891633417,0
-41.223751,16,718.934523,0.9049490764748109,0
-311.695336,100,723.658392,0.08409343841471933,0
-43.930157,17,724.356735,0.9057167911542814,0
-288.839668,100,729.856169,0.5093064946861529,0
-39.851556,16,730.615019,0.9012289969675269,0
-315.906701,100,735.322245,0.0,0
-296.609921,100,740.184929,0.12994951739935534,0
-39.618776,15,740.861666,0.90434175636919,0
-313.958255,100,745.13895,0.0,0
-200.955749,68,777.812261,0.9085220581140645,0
-291.971132,100,783.425848,0.29412420589347565,0
-291.616607,100,789.446069,0.14449625569705082,0
-311.578719,100,795.766966,0.0,0
-312.33807,100,801.17299,0.0,0
-33.991704,13,801.800488,0.9053496567172399,0
-57.160956,24,802.94735,0.9003865416135239,0
-50.640916,22,803.931521,0.9001451800512091,0
-315.449963,100,808.781776,0.0,0
-312.288384,100,813.851687,0.0,0
-314.074891,100,818.443675,0.0,0
-298.321335,100,822.94008,0.03242654239401183,0
-316.425128,100,827.193803,0.0,0
-307.732084,100,831.512568,0.0,0
-296.206445,100,836.015367,0.027354315612315515,0
-42.382376,16,836.779425,0.9015720993000482,0
-42.14327,16,837.525346,0.9001645509881404,0
-312.907629,100,842.291803,0.0,0
-309.609565,100,846.988638,0.0,0
-51.809904,21,848.067446,0.9001210971329269,0
-295.252362,100,853.043875,0.0,0
-34.024496,13,853.689249,0.9038324005619158,0
-39.737428,15,854.442955,0.9081879812388794,0
-38.973703,15,855.198385,0.9020592213470313,0
-39.747637,17,856.11212,0.9002593327580605,0
-265.747075,100,862.014718,0.413038039142573,0
-34.244883,13,862.662198,0.908073930538771,0
-297.770872,100,867.534079,0.0,0
-36.150802,14,868.22918,0.9006593391682352,0
-311.708452,100,873.063309,0.0,0
-290.740412,100,878.127418,0.1257052346116924,0
-307.911182,100,883.505482,0.0,0
-41.280507,16,884.355857,0.9066871946627559,0
-293.334896,100,889.951044,0.3138139836040423,0
-35.835966,14,890.727221,0.9026859282517391,0
-293.598262,100,896.732622,0.1755251161397741,0
-34.26653,13,897.510776,0.9034853429354593,0
-179.129085,62,900.962786,0.9000975084200674,0
-43.107148,16,901.769058,0.9079803003890087,0
-309.195631,100,907.517382,0.0,0
-40.007578,15,908.500271,0.9011421413884478,0
-307.390313,100,914.361726,0.0,0
-294.864732,100,922.437219,0.0,0
-285.12576,100,929.449981,0.30071168743226806,0
-284.251788,100,937.419088,0.5152386053259309,0
-305.742095,100,944.454915,0.0,0
-51.868562,22,946.093828,0.9008508049626219,0
-46.49222,18,947.436001,0.9000229626695045,0
-305.846835,100,954.448159,0.0,0
-302.177724,100,960.979847,0.026967938347303218,0
-304.72238,100,967.069194,0.0,0
-309.45109,100,972.50844,0.0,0
-306.233074,100,977.907005,0.0,0
-314.16294,100,983.465602,0.0,0
-285.380632,100,989.51609,0.4145820786815101,0
-307.420968,100,994.789014,0.0,0
-36.483499,15,995.589507,0.9032617661850526,0
-284.857455,100,1000.650768,0.0,0
-293.430791,100,1006.263098,0.04077887152585923,0
-297.802933,100,1011.691621,0.0,0
-169.265275,61,1014.760389,0.9054976242894309,0
-31.593629,12,1015.358078,0.9009342624543888,0
-292.904727,100,1020.760718,0.4495205222861003,0
-306.009189,100,1025.99042,0.0,0
-306.664251,100,1034.078949,0.0,0
-38.005215,15,1035.066057,0.9011114945176071,0
-294.253167,100,1041.110278,0.12520142658582395,0
-33.571921,13,1042.042042,0.9008865502578037,0
-307.421261,100,1047.538151,0.0,0
-304.041682,100,1053.307117,0.0,0
-295.059889,100,1059.701872,0.022073872200454557,0
-87.41722,31,1101.663894,0.9051132237581486,0
-309.496881,100,1124.263382,0.0,0
-296.988514,100,1131.60358,0.0689426238085793,0
-303.712546,100,1138.252027,0.04634421903964647,0
-33.458026,13,1139.196506,0.9020694663622582,0
-302.269093,100,1146.363091,0.0,0
-254.327266,100,1152.724167,0.15780706676048445,0
-46.279467,18,1153.906075,0.9029340510539725,0
-56.520526,24,1155.324776,0.9003962191681235,0
-269.517486,100,1161.596928,0.4017853013156778,0
-252.202363,83,1166.132836,0.9134115585018846,0
-307.984622,100,1171.889071,0.0,0
-294.748272,100,1177.938373,0.041846837508061126,0
-290.874665,100,1183.257899,0.015001636237924358,0
-308.00779,100,1188.811452,0.0,0
-165.786544,57,1191.901641,0.92977447243468,0
-296.329721,100,1197.370561,0.06903726133453533,0
-304.924842,100,1202.74307,0.0,0
-217.996317,76,1207.056702,0.926157508070713,0
-36.400882,14,1207.736378,0.9292935846252514,0
-306.438719,100,1212.422013,0.0,0
-39.555981,15,1213.154181,0.9048588203782346,0
-303.733904,100,1219.391248,0.0,0
-31.736206,12,1220.055546,0.9049654624313948,0
-33.31225,13,1220.751296,0.9052487786226538,0
-307.060913,100,1226.011031,0.0,0
-34.089628,13,1226.714657,0.9008838198605774,0
-296.755181,100,1233.058697,0.002056222657761901,0
-308.805054,100,1238.789632,0.0,0
-78.558899,36,1241.085962,0.9000147877221912,0
-39.661382,15,1241.91636,0.903961097105442,0
-303.228662,100,1248.293556,0.0,0
-308.653955,100,1254.849983,0.0,0
-305.937024,100,1260.949891,0.0,0
-308.093474,100,1267.583576,0.0,0
-308.923093,100,1274.050664,0.0,0
-41.570672,16,1275.081265,0.9055746102429765,0
-29.062792,11,1275.832566,0.9015685712148728,0
-300.280593,100,1282.528237,0.0,0
-305.992077,100,1289.024232,0.0,0
-34.181208,13,1289.892566,0.9011142020399774,0
-299.702507,100,1296.534223,0.016315113681016274,0
-53.22275,23,1298.175698,0.9015800376541739,0
-227.006514,79,1303.488805,0.9042538203786474,0
-314.44257,100,1310.200547,0.0,0
